"C"," This question focuses on the main idea of the passage. The reading constantly flips back and forth, taking one side at first, then another on the forecast for American entrepreneurship. The author is careful to present his or her arguments fairly and with some reservations (e.g., it is not clear thatâ€¦, suggests thatâ€¦, may seemâ€¦, does not necessarilyâ€¦, it may not bringâ€¦, can beâ€¦). Ultimately, the view is balanced, or nuanced. Regarding choice (A), the author does not propose changes. Regarding (B), the author never argues that any group of college students should (or should not) form their own companies. If anything, the author offers both sides of the issue, leaving it up to individuals to decide. Regarding (D), the author offers one fact about the varying rates at which businesses of two types (low-value and high-value) are founded. However, the author never evaluates the viability (or likelihood of success) of these types. As for (E), the analogy drawn in the last two sentences is not the main point of the passage; it is a final observation, one that sheds light on the issue, but this analogy is not the primary purpose for which the passage was written."
"B"," The question asks for a specific detail mentioned or clearly indicated in the text. You should look for very direct proof for the answer choice you pick. Specifically: College graduates, unable to find traditional jobs, instead opt to start their own businesses. You should look for a match for this concept, slightly reworded at most. Correct choice (B) matches the idea that college graduates are unable to find traditional jobs. Regarding (A), college graduates who start their own businesses may indeed be hampered by a lack of access to outside investment, but this is not offered as the reason that they start such businesses. Be careful of answer choices that restate truths from the passage but do not answer the specific question posed! As for (C), it may be true that low-value companies have become more prevalent, but again, this does not answer the specific question. Regarding (D), the choice between renting and buying property is offered only as an analogy, not as a literal choice for college graduates (let alone as the reason for their entrepreneurial decisions). Regarding choice (E), you are told nothing about how forecasts of the unemployment rate are likely to evolve."
"E"," This question asks you what â€œcan be inferredâ€ about the number of American high-value businesses. The answer choices reveal that specifically, you should focus on how this number has changed (or may have changed) during the course of the recent recession. For an Inference question, you will need proof from the passage, but you will typically need to transform that proof â€” you are not simply asked to look up a fact, and you should be wary of simply matching language in the text to language in the choices. However, you should also recognize that there is no fuzziness or room for interpretation. The answer you come to must be rock-solid. In particular, when you encounter mathematical language, you should take extra care to make our argument airtight mathematically. Looking up the key phrase high-value businesses, you find that the proportion of high-value businesses founded each year has declined. Watch out! As you know from the math side of the GRE, a proportion is not the same as a number. The proportion has fallen, but you are also told that the overall number of new business starts has been higher over recent years. If the overall number is up, but the proportion is down, you cannot tell whether the absolute number of high-value businesses is up or down. (E) is correct â€” what has happened to the number you want is unknown."
"C"," You are told that women went to war as nurses or in providing supplies and that such women, including many old women, died in battle. Therefore, Some of those who worked as nurses or in providing supplies died in battle. In (A), you do not know how other people felt about (lamented) or marked the deaths of anyone who died in battle. You also do not know anything about the courageousness of younger women (B), or anything about the status of men in Asante culture ((D) and (E))."
"E"," The first paragraph introduces bacterial â€œsuper-bugsâ€ with some alarm. The second paragraph increases the alarm, noting how many scientists argue that the human race has more to fear from viruses. This paragraph describes the way in which viruses hijack the cell, in order to illustrate how tough viruses are to treat. The last paragraph continues the comparison and puts a stake in the ground: bacteria lack the potential for cataclysm that viruses have. This last point is illustrated by the near- miss you have had with the HIV pandemic. As for choice (A), you are never told how bacteria infect the body. Regarding (B), the hijacking process is certainly described, but to make a larger point: why itâ€™s hard to eradicate viruses, in comparison with bacteria. As for (C), After reading this passage, you may want to call up the CDC and donate money, but the passage itself only raises a warning, if even that â€” it is not a call to action. Regarding choice (D), the last paragraph does highlight your good fortune, but this is not the larger point of the whole passage. (E) is correct â€” the passage compares the two threats (bacteria and viruses) and judges viruses to be far more important (after all, viruses have the potential for cataclysm)."
"B"," In this Inference question, you must be careful to focus on the keywords you are given: infections by bacteria (which you could rearrange to bacterial infections). What do you know from the text about bacterial infections? Toward the end of the second paragraph, one sentence gives you a direct clue: viral infections cannot be treated ex post facto in the way that bacterial infections can. So you can infer correctly that bacterial infections CAN be treated â€œex post factoâ€ (it means â€œafter the factâ€). You should look for a match to this idea. Choice (B) gives you what you want. The extra phrase by antimicrobial agents isnâ€™t much to add; this term is used at the beginning of the passage, and all it means is â€œstuff that works against microbes, i.e., bacteria.â€ Regarding (A), from the beginning of the second paragraph, you know that bacteria themselves reproduce asexually through binary fission, but you donâ€™t know that to be true about infections by bacteria. Regarding (C), resistance â€œcocktailsâ€ such as NDM-1 actually make bacteria â€œnearly impregnable.â€ So an infection by bacteria that have this cocktail would be less vulnerable, not more vulnerable. Choice (D) is true about viral infections, not bacterial infections. Choice (E) makes little sense; you know only that the virus does critical damage to the host cell. In fact, it does not seem that bacteria infect organisms in the same way, so it might not even make sense to speak of the â€œhost cellâ€ of a bacterium."
"A"," This Specific Detail question requires you to determine what is true about intracellular obligate parasites (or IOPs, to give them a temporary abbreviation). Going back to the passage, you read this: Whereas bacteria reproduce asexually through binary fission, viruses lack the necessary structures for reproduction, and so are known as â€œintracellular obligate parasites.â€ The word so toward the end tells you that the reason viruses are called IOPs is that they lack the necessary structures for reproduction. You are looking for this idea, perhaps slightly restated. (A) is correct."
"B"," Before reading the choices, it is helpful to determine for yourself what the main idea is. Is the passage really about supernovae, or is it about Galileo, the philosophers, and the ideas being discussed? The fact that the â€œtwistâ€ occurs in the second paragraph (youâ€™re not talking just about science â€” now youâ€™re talking about history and philosophy) supports the position that the second paragraph is more central to the main idea and that the first paragraph is just background information. Choice (A) is wrong because it does not mention the main content of the second paragraph, the ideas and assumptions that became controversial. It is also much too broad â€” giving a history of supernovae would take a lot more than two paragraphs. Choice (B) is correct â€” the passage does describe a â€œshift in thoughtâ€ (from an unchangeable â€œheavensâ€ to a more scientific view), and this shift (at least among intellectuals in Padua) was prompted by a â€œnatural eventâ€ (the supernova). Choice (C) is attractive (juxtapose means â€œto put next to one anotherâ€ or â€œto compareâ€), but does not describe the main idea. While Galileo and the philosophers certainly had different views about the bright light they saw in the sky, itâ€™s not clear that you can say that the philosophers had â€œviews about supernovaeâ€ in general. Choice (D) can be stricken simply due to â€œcorroborateâ€ (to prove true or support with evidence). The passage is describing, not making an argument. Finally, choice (E) is much too broad! You could spend an entire career discussing how science and philosophy interrelate. This passage covers a much more narrow topic."
"A"," Remember that Inference questions are not asking you to think for yourself. You must not make any assumptions or go beyond the information in the passage. Statement I is true because you can prove it with the first sentence of the second paragraph. In 1604 in Padua, Italy, a supernova became visible, appearing as a star so bright that it was visible in daylight for more than a year. Since this supernova was visible for more than a year, it is possible for supernovae to take more than a year to fade from view. (Note that if Statement I said â€œSupernovae always take more than a year to fade from view,â€ it would be wrong.) The second statement cannot be proven. Just because you are told that a supernova in 1604 caused a stir does not mean no one else had ever seen one before. The third statement also cannot be proven. You know that Galileo disagreed with the philosophers; you donâ€™t know that those particular philosophers ever changed their minds."
"C"," As a result of the supernova in 1604, Galileo gave popular lectures in which he â€œsought to explainâ€ the origin of the â€œstarâ€ and which â€œundermined the viewsâ€ of some philosophers. Thatâ€™s all you know. Choice (A) is a bit silly â€” was the Earth created after 1604? This choice took some wording from paragraph and twisted it around to trick us. Choice (B) is too extreme â€” you know that Galileo sought to explain the origin of the supernova, but you donâ€™t know that he succeeded. Choice (C) is true â€” you are told that the lectures were widely attended by the public. (A very picky person might point out that just because people go to a lecture doesnâ€™t mean they are interested, but all of the other answers are definitely wrong, so that confirms that this is a reasonable â€” that is, very tiny â€” inferential leap.) Choice (D) is attractive, but is a trap answer. You know that Galileo, in his lectures, â€œunderminedâ€ (weakened) the views of the philosophers. But you donâ€™t know what the philosophersâ€™ response was, and you certainly donâ€™t know whether the philosophers were opposed to the lectures themselves (a person could be opposed to the ideas in a lecture but still think the lecturer should be allowed to lecture). Choice (E) is also attractive because you, as a modern reader, know this to be true in real life. However, the question does not ask, â€œWhat really happened?â€ It asks â€œThe author mentions which of the following as a result of the supernova of 1604?â€ The author does not mention that the philosophers were â€œproved wrong.â€ (Their views were â€œundermined, which is much less extreme.) You cannot validate this answer choice with evidence from the passage."
